NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	NUM
??	类型	问题描述	选项1	选项2	选项3	选项4	答案
0	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G<<西游记>>中的火焰山是今天的哪里？	吐鲁番盆地	日本北海道	山东蓬莱	非洲刚果河流域	1
1	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G『山茶白羽图』是明代哪位画家之作？	林良	吕纪	边文进	唐寅	1
2	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G不会游泳的人在死海里：	沉入水中	会浮在水面上	学会游泳	大喊救命	2
3	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《成吉思汗》中的大都是哪？	北京	南京	上海	广州	1
4	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《成吉思汗》中新手村的名字叫什么？	太郎村	新手村	哲别村	隐逸村	3
5	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G『永字八法』通常被用来阐明哪一种书体的运笔基本法则？	楷书	隶书	篆书	行书	1
6	0	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G山外青山楼外楼""在原诗《题临安邸》中的下句是："	梦里犹现桃花面	西出阳关无故人	疑是银河落九天	西湖歌舞几时休	4
7	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G一公斤铁和一公斤棉花哪一个轻？	铁	棉花	一样重	不知道	3
8	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G『立体派』的兴起，是从黑人雕刻得到启示，以及哪个画家的启迪？	塞尚（P.Cezanne）	梵谷（V.vanGogh）	高更（P.Gauguin）	毕加索（P.Picasso）	1
9	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G『仿王蒙山水』是清代哪位画家之作？	王鉴	郎世宁	任伯年	赵左	1
10	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G向日葵的种子是什么？	番薯	马铃薯	葵花籽	豆角	3
11	0	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G三过家门而不人""是哪一历史人物的故事？"	尧	舜	禹	启	3
12	0	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《三国演义》中的凤雏""是谁？"	徐庶	郭嘉	诸葛亮	庞统	4
13	0	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《三国演义》中的卧龙""是谁？"	徐庶	郭嘉	诸葛亮	庞统	3
14	0	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G藕""是莲的："	茎	叶	根	果实	1
15	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G『吃肉吃三层，看戏看乱弹』这句话在形容台湾哪种戏曲音乐的美妙？	南管	北管	歌仔戏	客家采茶戏	2
16	0	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G皇帝""作为一国之君的正式称号，始于："	周幽王	汉高祖	秦始皇	项羽	3
