NUM	TEXT	TEXT	TEXT	TEXT	TEXT	NUM
编号	题面	选项1	选项2	选项3	选项4	答案
123720	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	存取物品	领取双倍时间	回复生命	领取帮会任务	3
123721	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	了解帮会战	给装备升星	学习生活技能	兑换银票	1
123722	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	对别帮宣战（帮主）	对别国宣战（国王）	装备打孔	回复骑乘生命	2
123723	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备铭刻	转换职业	叛国	完成帮会任务	4
123724	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备镶嵌	参加屠城战	参加战车押运	学习印度珠宝术	2
123727	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	换取装备	获取声望	升级师傅称号	制作护身符	1
123728	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	学习蒙古驯马术	装备保值	天赋升级	买药品	4
123729	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	参加天降宝箱活动	加入帮会	购买防具	冻结双倍时间	3
123730	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备鎏金	买武器	买常乐草配方	完成内政任务	2
123732	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	领取双倍时间	紫装回炉	提升采集矿石技能	完成好友任务	1
123736	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	荣誉商店	龙眼石商店	帮会商店	威望商店	1
123746	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	荣誉商店	龙眼石商店	帮会商店	威望商店	2
123737	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	荣誉商店	龙眼石商店	帮会商店	威望商店	3
123773	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	荣誉商店	龙眼石商店	帮会商店	威望商店	4
123710	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	杂货	恢复骑乘生命值	仓库	装备升星	2
123764	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	杂货	恢复骑乘生命值	仓库	装备升星	3
123738	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	杂货	恢复骑乘生命值	仓库	装备升星	4
123739	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备镶嵌	装备回收	现金和现银交易	装备铭刻	1
123780	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备镶嵌	装备回收	现金和现银交易	装备铭刻	2
123768	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备镶嵌	装备回收	现金和现银交易	装备铭刻	3
123733	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备镶嵌	装备回收	现金和现银交易	装备铭刻	4
123742	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	骑乘技能学习	战场功绩兑换	战场勋章兑换	脱机代练	1
126017	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	存取物品	领取双倍时间	回复生命	领取帮会任务	3
126018	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	了解帮会战	给装备升星	学习生活技能	兑换银票	1
126019	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	对别帮宣战（帮主）	对别国宣战（国王）	装备打孔	回复骑乘生命	2
126020	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备铭刻	转换职业	叛国	完成帮会任务	4
126021	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备镶嵌	参加屠城战	参加战车押运	学习印度珠宝术	2
126024	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	换取装备	获取声望	升级师傅称号	制作护身符	1
126025	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	学习蒙古驯马术	装备保值	天赋升级	买药品	4
126026	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	参加天降宝箱活动	加入帮会	购买防具	冻结双倍时间	3
126027	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备鎏金	买武器	买常乐草配方	完成内政任务	2
126028	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	领取双倍时间	紫装回炉	提升采集矿石技能	完成好友任务	1
126032	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	荣誉商店	龙眼石商店	帮会商店	威望商店	1
126042	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	荣誉商店	龙眼石商店	帮会商店	威望商店	2
126033	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	荣誉商店	龙眼石商店	帮会商店	威望商店	3
126069	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	荣誉商店	龙眼石商店	帮会商店	威望商店	4
126006	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	杂货	恢复骑乘生命值	仓库	装备升星	1
126009	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	杂货	恢复骑乘生命值	仓库	装备升星	2
126060	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	杂货	恢复骑乘生命值	仓库	装备升星	3
126034	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	杂货	恢复骑乘生命值	仓库	装备升星	4
126035	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备镶嵌	装备回收	现金和现银交易	装备铭刻	1
126076	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备镶嵌	装备回收	现金和现银交易	装备铭刻	2
126064	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备镶嵌	装备回收	现金和现银交易	装备铭刻	3
126029	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备镶嵌	装备回收	现金和现银交易	装备铭刻	4
126038	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	骑乘技能学习	战场功绩兑换	战场勋章兑换	脱机代练	1
129017	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	存取物品	领取双倍时间	回复生命	领取帮会任务	3
129018	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	了解帮会战	给装备升星	学习生活技能	兑换银票	1
129019	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	对别帮宣战（帮主）	对别国宣战（国王）	装备打孔	回复骑乘生命	2
129020	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备铭刻	转换职业	叛国	完成帮会任务	4
129021	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备镶嵌	参加屠城战	参加战车押运	学习印度珠宝术	2
129024	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	换取装备	获取声望	升级师傅称号	制作护身符	1
129025	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	学习蒙古驯马术	装备保值	天赋升级	买药品	4
129026	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	参加天降宝箱活动	加入帮会	购买防具	冻结双倍时间	3
129027	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备鎏金	买武器	买常乐草配方	完成内政任务	2
129029	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	领取双倍时间	紫装回炉	提升采集矿石技能	完成好友任务	1
129033	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	荣誉商店	龙眼石商店	帮会商店	威望商店	1
129043	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	荣誉商店	龙眼石商店	帮会商店	威望商店	2
129034	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	荣誉商店	龙眼石商店	帮会商店	威望商店	3
