NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT
Index	题目类型	题目	答案1	答案2	答案3	答案4
0	0	『一望无际都是草』，这个情形可用什么植物形容？	梅花	菊花	荷花	樱花
1	0	『一头毛发一头光，进进出出冒白浆』，这可能是什么日常用品？	牙刷	洗发精	毛巾	梳子
2	0	『上面有毛，下面也有毛，晚上就来个毛对毛』，这是什么部位？	眼睛	头	腋下	腿
3	0	小说哈利波特，到完结篇一共了出版几集？	八集	六集	九集	七集
4	0	『小学念到大学』要念多久？	16年	14年	12年	2秒钟
5	0	『公共厕所』这可能是形容那一个国家的首都？	伦敦	开普敦	北京	上海
6	0	『太平洋』的中间是什么？	大西洋	是个平	印度洋	北极海
7	0	『好马不吃回头草』是什么意思？	不吃这一套	回头草不好吃	后面没草吃了	不是好马不吃草
8	0	『我撕纸，因为我存在』，这是那一句名言的翻译？	我爽故我思	我想故我在	我做故我爽	我思故我在
9	0	『东西』掉了该怎么办？	还有四张空白麻将	叫朋友找	叫家人报警	再买一次
10	0	『恐龙』原义并不是『恐怖的龙』，那是什么？	孔子像龙	恐怕是龙	有恐无龙	恐怕不是龙
11	0	『笑』和『哭』有什么相同之处？	都不好过	都很难过	都是十划	都有眼泪
12	0	80岁老翁娶亲会发生什么状况？	一针见血	铁杵磨成绣花针	不耻下问	心有余而力不足
13	0	8去掉自己的一半，答案是多少？	0	4	2	8
14	0	9月28是孔子诞辰，那么10月28日是什么日子？	光复节	孔子满月	天公生日	孟子诞辰
15	0	9个柳橙分给13个小朋友，怎么分才公平？	拿走一个柳橙	拿走二个柳橙	榨成汁	拿走三个柳橙
16	0	IX－这个罗马数目字是9，如何加上一笔，使其变成偶数？	前面加上Z	前面加上M	前面加上F	前面加上S
17	0	KISS算是动词、名词、介系词还是连接词？	连接词	动词	名词	介系词
18	0	一加一等于多少？	七上八下	不三不四	八九不离十	经常
19	0	一名士兵有一天在值勤时，明明看到有人要向他摸哨，为什么他却睁一支眼闭一支眼？	摸哨者是连长	他在睡觉	他正在瞄准	不关他的事
20	0	一年四季都盛开的花是什么花？	梅花	兰花	金针花	爆米花
21	0	一百个男人无法一起抬起的物体，却有一女子可单手举起，此物体究竟是何物？	鸡蛋	航空母舰	高楼大厦	地球
22	0	一位孕妇上车后为何没人让座？	未到目的地	没有其他人	没人认识它	不是他亲戚
23	0	一位穿长裙的小姐投4元，司机让她上公交车；第二位没给钱，司机却让她上，为什么？	她没穿衣服	司机好心	她用公交车储值卡	司机没看见
24	0	一位警察有位弟弟，但弟弟却否认那位警察是他哥哥，为什么？	他作奸犯科	他无情无义	他长的很丑	她是个女警
25	0	一杯饮料，怎样才能喝到杯底的饮料？	用吸管吸	挖个洞	摇一摇	再买一杯
26	0	一架空调器从楼上掉下来会变成什么器？	调节器	凶器	机器	热水器
27	0	一个人做无所谓，两个人做最不好，但三个人以上做又没什么关系了。是什么事情？	喝茶	打屁	放屁	打手枪
28	0	一个人无法做，一群人做没意思，两个人做刚刚好。请问是什么事？	泡茶	捉迷藏	看电影	说悄悄话
29	0	一个小朋友左右手各拿一支毛笔，写了两行字，你可知这些字是用左手写还是右手写？	用笔写	左手	右手	双手
30	0	一个不会游泳的人掉进了海里没有淹死，为什么？	天保佑	穿了救生衣	天晓得	海很深
